,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
154,Filip Chytil,22,NYR,C,67,713,712,50.0,3.0,541,531,50.5,2.9,8.0,91.5,99.5,58.9,41.1,13:11,12:03,23,28,1.5,231,58.4
155,Anthony Cirelli,24,TBL,C,76,1037,917,53.1,2.8,789,679,53.7,3.2,10.4,90.9,101.3,45.4,54.6,18:19,14:46,60,13,7.7,260,56.2
156,Casey Cizikas,30,NYI,C,74,579,803,41.9,-5.0,426,582,42.3,-4.8,8.6,92.9,101.6,30.6,69.4,13:45,11:49,33,32,-11.9,147,61.9
157,Fredrik Claesson,29,TBL,D,9,74,79,48.4,-5.6,57,60,48.7,-6.2,2.9,90.7,93.6,50.0,50.0,9:52,9:35,1,3,-0.7,11,36.4
158,Kale Clague,23,TOT,D,36,396,473,45.6,-2.5,306,370,45.3,-3.4,6.0,91.8,97.8,61.0,39.0,16:44,14:40,6,35,-5.8,56,46.4
159,Kyle Clifford,31,TOT,LW,25,185,189,49.5,-0.8,137,149,47.9,-2.3,8.2,88.3,96.5,65.6,34.4,8:48,8:35,5,5,-0.6,44,65.9
160,Connor Clifton,26,BOS,D,60,816,703,53.7,-1.1,655,535,55.0,-1.2,7.0,90.0,97.0,50.5,49.5,16:04,14:48,16,14,9.1,149,53.7
161,Cal Clutterbuck,34,NYI,RW,59,485,586,45.3,-2.2,365,426,46.1,-1.7,6.4,92.5,98.9,33.6,66.4,14:03,11:56,21,14,-5.9,113,65.5
162,Dylan Coghlan,23,VEG,D,59,774,688,52.9,0.8,584,484,54.7,1.5,6.2,92.0,98.2,53.8,46.2,14:12,12:53,20,28,1.9,218,49.5
163,Andrew Cogliano,34,TOT,LW/C,74,601,775,43.7,-4.3,471,566,45.4,-3.2,8.1,88.6,96.6,37.0,63.0,12:40,10:50,29,23,-11.5,128,58.6
164,Ian Cole,32,CAR,D,75,1106,834,57.0,1.6,846,631,57.3,2.8,8.7,91.4,100.1,55.1,44.9,17:09,14:37,29,48,9.9,180,42.8
165,Blake Coleman,30,CGY,C,81,1096,823,57.1,2.3,839,625,57.3,3.1,8.1,92.0,100.0,51.2,48.8,14:49,13:01,34,47,11.3,329,64.4
166,Ross Colton,25,TBL,C,79,850,761,52.8,2.6,658,581,53.1,2.6,8.9,91.1,100.0,47.6,52.4,12:48,11:21,29,8,4.9,259,61.4
167,Blake Comeau,35,DAL,RW,6,46,48,48.9,-4.0,36,34,51.4,-1.8,7.7,87.0,94.6,23.3,76.7,11:28,10:27,1,4,1.1,5,40.0
168,J.T. Compher,26,COL,LW,70,816,866,48.5,-5.2,587,644,47.7,-4.9,10.7,92.1,102.8,44.5,55.5,16:19,12:50,26,18,-5.9,199,51.3
169,Max Comtois,23,ANA,LW,52,572,623,47.9,1.2,419,464,47.5,0.8,9.1,86.9,96.0,53.5,46.5,14:08,12:22,9,34,-6.6,130,55.4
170,Kevin Connauton,31,TOT,D,39,438,497,46.8,-3.4,331,391,45.8,-5.3,8.4,91.7,100.1,56.1,43.9,13:05,12:34,6,16,-2.0,67,44.8
171,Brett Connolly,29,CHI,RW,9,56,74,43.1,-2.6,41,50,45.1,-1.6,4.2,90.0,94.2,24.3,75.7,8:24,7:41,2,0,-2.0,13,46.2
172,Kyle Connor,25,WPG,LW,79,1309,1309,50.0,0.7,1010,1037,49.3,-0.3,9.9,90.1,100.0,58.2,41.8,21:47,16:59,66,47,1.6,499,63.5
173,Andrew Copp,27,TOT,C,72,1057,912,53.7,2.9,814,713,53.3,3.0,10.0,91.3,101.3,54.7,45.3,19:11,14:40,34,43,2.9,283,64.7
174,Paul Cotter,22,VEG,C,7,51,57,47.2,-3.1,37,38,49.3,-2.9,11.5,93.8,105.3,45.2,54.8,8:49,8:46,1,0,0.1,17,64.7
175,Nick Cousins,28,NSH,C,68,681,674,50.3,1.4,518,519,50.0,0.6,6.7,91.5,98.2,48.7,51.3,12:28,10:47,16,23,-2.8,171,60.2
176,Logan Couture,32,SJS,C,77,1082,1191,47.6,2.9,824,855,49.1,3.4,8.9,90.2,99.1,44.0,56.0,18:56,14:34,62,31,1.5,314,63.4
177,Sean Couturier,29,PHI,C,29,474,386,55.1,10.1,352,292,54.7,9.6,7.4,89.7,97.1,47.9,52.1,20:23,15:24,25,17,-0.3,136,58.1
178,Charlie Coyle,29,BOS,C/RW,82,1079,1040,50.9,-4.4,872,782,52.7,-3.6,8.3,89.6,97.9,50.9,49.1,17:24,13:52,39,42,9.8,214,61.2
179,Dylan Cozens,20,BUF,C,79,944,942,50.1,1.9,714,738,49.2,1.9,7.9,89.3,97.3,57.6,42.4,15:54,13:28,33,30,-7.2,265,60.4
180,Joseph Cramarossa,29,MIN,C,1,12,6,66.7,3.2,9,4,69.2,4.5,16.7,75.0,91.7,66.7,33.3,6:55,6:55,1,0,0.3,1,100.0
181,Kyle Criscuolo,29,DET,C,6,38,46,45.2,-1.1,30,35,46.2,-0.6,8.7,95.8,104.5,55.2,44.8,9:33,9:33,0,0,0.5,10,50.0
182,Sidney Crosby,34,PIT,C,69,1261,1065,54.2,3.8,971,829,53.9,2.1,10.5,92.3,102.8,62.7,37.3,19:58,16:32,34,54,11.2,334,62.3
183,Lawson Crouse,24,ARI,LW,65,738,884,45.5,1.8,555,656,45.8,2.8,10.1,90.3,100.4,42.7,57.3,17:26,13:45,29,23,-7.4,224,58.5
184,Austin Czarnik,29,TOT,C,17,147,122,54.6,5.9,104,88,54.2,5.9,13.9,91.0,105.0,48.8,51.2,10:54,10:06,6,4,0.1,29,48.3
185,Kirby Dach,21,CHI,C,70,883,1006,46.7,0.3,630,716,46.8,0.3,9.4,88.3,97.6,51.8,48.2,18:03,15:00,42,17,-1.5,198,58.6
186,Evgenii Dadonov,32,VEG,RW,78,1075,943,53.3,0.9,774,681,53.2,-0.5,9.7,90.4,100.1,56.6,43.4,15:49,13:25,17,30,6.9,300,59.0
187,Jonathan Dahlen,24,SJS,C,61,705,784,47.3,2.5,525,555,48.6,2.5,6.9,88.7,95.6,46.0,54.0,13:48,11:59,21,23,-1.5,178,59.0
188,Rasmus Dahlin,21,BUF,D,80,1412,1364,50.9,4.1,1085,1122,49.2,3.0,7.9,89.6,97.5,59.0,41.0,24:01,20:02,27,51,-5.8,321,53.0
189,Carl Dahlstrom,27,TOR,D,3,37,28,56.9,11.6,27,24,52.9,8.0,8.7,100.0,108.7,31.3,68.8,13:39,12:49,2,3,0.8,5,80.0
190,Michael Dal Colle,25,NYI,LW,1,10,12,45.5,-8.4,7,7,50.0,-3.7,25.0,100.0,125.0,44.4,55.6,14:34,13:44,0,1,-0.3,2,100.0
191,Zac Dalpe,32,FLA,RW,1,2,7,22.2,-33.7,2,4,33.3,-23.8,0.0,75.0,75.0,80.0,20.0,6:08,6:08,0,0,-0.1,0,
192,Riley Damiani,21,DAL,C,7,62,46,57.4,7.7,43,36,54.4,4.4,6.9,91.7,98.6,52.6,47.4,8:32,8:03,3,1,0.2,18,55.6
193,Phillip Danault,28,LAK,C,79,1261,960,56.8,3.6,1006,704,58.8,5.3,8.7,90.2,98.9,50.1,49.9,18:08,14:22,22,29,12.7,299,64.9
194,Justin Danforth,28,CBJ,RW/C,45,504,481,51.2,4.1,366,368,49.9,4.0,8.6,90.3,98.9,45.1,54.9,12:34,11:48,15,2,-5.8,131,55.0
195,Laurent Dauphin,26,MTL,C,38,376,446,45.7,1.1,287,344,45.5,1.0,9.6,88.5,98.1,49.8,50.2,13:18,11:59,17,13,-10.2,84,59.5
196,Jeremy Davies,25,NSH,D,6,68,59,53.5,0.2,52,49,51.5,-3.2,5.3,80.6,85.8,46.9,53.1,12:15,12:01,2,5,-0.7,9,55.6
197,Sean Day,24,TBL,D,2,13,24,35.1,-23.0,11,17,39.3,-16.6,14.3,81.3,95.5,35.3,64.7,10:43,10:33,1,0,-1.0,3,66.7
